,teamNumber,nameFull,nameShort,city,stateProv,country,rookieYear,robotName,districtCode,schoolName,website,homeCMP
0,1,FCA Foundation/Hirotec America/Molex&Oakland Schools Technical Campus Northeast,The Juggernauts,Pontiac,Michigan,USA,1997,,FIM,Oakland Schools Technical Campus Northeast,,CMPMI
1,4,Lockheed Martin/Cooler Master/Sawing Services/Gibbs CAM/SolidWorks/WAAG/Full Scale Effects/Raytheon&High Tech La,Team 4 ELEMENT,Van Nuys,California,USA,1997,,,High Tech La,,CMPTX
2,8,Google/Dropbox/Monsanto/Arm Inc./Western Digital/D&K Precision Sheet Metal Inc./Kirk's Steakburgers&Palo Alto High,Paly Robotics,Palo Alto,California,USA,1996,,,Palo Alto High,,CMPTX
3,11,Siemens/National Defense Education Program/BAE Systems/ASCO/Chameleon Designs/Nokia/LGS Innovations/Mt. Olive School District&Mt  Olive High,MORT,Flanders,New Jersey,USA,1997,,FMA,Mt  Olive High,,CMPMI
4,16,Baxter Healthcare Corporation&Mtn Home High Career Academics,Bomb Squad,Mountain Home,Arkansas,USA,1996,,,Mtn Home High Career Academics,,CMPTX
5,20,Global Foundries - Town of Malta Foundation/Ignite U powered by NYSTEC/BAE SYSTEMS/GE/Advanced Manufacturing Techniques Inc./NYSTAR and CATS at Rensselaer Polytechnic Institute/KLA Foundation&Shenendehowa High School,The Rocketeers,Clifton Park,New York,USA,1992,,,Shenendehowa High School,,CMPMI
6,21,The Boeing Company/Planet Fitness of Daytona/School Board of Brevard County/NASA EGS/Indian River Technology llc/Florida Power & Light/State of Florida/MRO Supply/Teledyne Marine&Astronaut High School&Titusville High School,ComBBAT,Titusville,Florida,USA,1998,,,Astronaut High School & Titusville High School,,CMPTX
7,23,Pilgrim Nuclear/Entergy Corporation&Plymouth North High&Plymouth North High,PNTA Pilgrim Nuclear Technology Alliance,Plymouth,Massachusetts,USA,1995,,NE,Plymouth North High & Plymouth North High,,CMPMI
8,25,Bristol-Myers Squibb Co./Picatinny Arsenal. US Dept of Defense/Neil Parikh/CIMA/Harris Corporation/North Brunswick Public Schools/Raider Robotix Parent and Mentor Organization&North Brunswick Twp High,Raider Robotix,North Brunswick,New Jersey,USA,1997,,FMA,North Brunswick Twp High,,CMPMI
9,27,The Diez Group/BorgWarner/Boeing/CNC Parts Online/FCA Foundation/Mclaren Health Care/Superior Buick GMC/Woodworth Incorporated/Meritor/BAE/Continental Structural Plastics/CooperStandard/Dalton Industries/DENSO/Department of Defense DoDSTEM/Dickinson Wright PLLC/Lawrence Plastics/Magna Powertrain/Applied Manufacturing Technologies/ZF - TRW/APTIV/ARC Investments/C&S Holding LLC/Clarkston Rotary/State Of Michigan/TechmodeGO/Röchling/Parker's Hilltop Brewery/RUSH Alumni/Vibe Credit Union/Bradford & Barthel/Omnia Data Services/K&S Ventures Inc/Continential/Industrial Furnace Interiors/Maximum Mold Group/Ed & Helen Glowski/Genisys Credit Union&Clarkston High School,Team RUSH,Clarkston,Michigan,USA,1997,,FIM,Clarkston High School,,CMPMI
10,28,&Pierson Middle/High School,Pierson Whalers,Sag Harbor,New York,USA,1996,,,Pierson Middle/High School,,CMPMI
11,31,Best Buy/Boeing/Department of Defense Education Program/Williams/OSDE/AEP/Tulsa Stem Alliance&Jenks Hs,Prime Movers,Jenks,Oklahoma,USA,1997,,,Jenks Hs,,CMPTX
12,33,Fiat Chrysler Automobiles/The FCA Foundation/Innovation First International/TI Automotive/Elite Fence Products/Hubbard Spring/BAE Systems/The Woodbridge Group & Notre Dame Preparatory,Killer Bees,Auburn Hills,Michigan,USA,1996,,FIM,Notre Dame Preparatory,,CMPMI
13,34,Limestone County Legislative Delegation/Boeing/Limestone County Board of Education & Limestone Co Area Voc Tech & Family/Community,Rockets,Athens,Alabama,USA,1997,,,Family/Community & Limestone Co Area Voc Tech,,CMPTX
14,41,Picatinny Arsenal/The Knotts Company/Nokia Bell Labs/Picut Manufacturing/Warren Lions Club/Thor Labs/Intuitive Surgical/P&R Fasteners Inc./Bruns-Pak/Advent Industrial/Offaly Associates LLC/Hobin Engineering/Advanced Circuits/Watchung Hills Education and Technology Foundation&Watchung Hills Reg H,RoboWarriors,Warren,New Jersey,USA,1997,,FMA,Watchung Hills Reg H,,CMPMI
15,45,"Delphi/Kokomo School Corporation/Duke Energy/AndyMark, Inc./Community Foundation of Howard County/Kokomo Education Foundation/1Up! Software/Northwest Radiology Network/ProPrints/Stearns Mini Warehouse&Kokomo High School",TechnoKats Robotics Team,Kokomo,Indiana,USA,1992,,IN,Kokomo High School,,CMPMI
16,48,Aptiv Foundation/Aptiv/Nordson XALOY&Warren G Harding High School,Team E.L.I.T.E.,Warren,Ohio,USA,1998,,,Warren G Harding High School,,CMPMI
17,51,GM Propulsion Systems/APTIV/Delphi Foundation/Ford Foundation/FCA Foundation/BAE Systems/The School Disrict of the City of Pontiac&Pontiac High School,The Wings of Fire,Pontiac,Michigan,USA,1996,,FIM,Pontiac High School,,CMPMI
18,56,Ethicon / Picatinny Arsenal / JM Staffing Solutions &Bound Brook High,R.O.B.B.E.,Bound Brook,New Jersey,USA,1997,,FMA,Bound Brook High,,CMPMI
19,58,Robotics Institute of Maine/South Portland School Department&South Portland High School,The Riot Crew,South Portland,Maine,USA,1996,,NE,South Portland High School,,CMPMI
20,59,RamTech 59 from Miami Coral Park Senior High/Motorola Solutions Foundation/Florida Power & Light/State of Florida/Miami Coral Park Adult Education Center/Harris Corporation/Beckman Coulter/Exponent/Festo/Suncoast Elevator Solutions/RC Interiors/Ramtech Robotics Summer Camp/Vila Auto Center/Seaboard Marine/The Home Depot&Miami Coral Park Senior High,RamTech,Miami,Florida,USA,1997,,,Miami Coral Park Senior High,,CMPTX
21,60,"UNS/FCA/Purvis Industries/Brackett Aircraft/Potters, Inc/Praxair/Sutton Funeral Home/Mohave County Block Grant/I Corp/True Value/Harley Davidson Foundation/Altice USA/West Coast Netting/Call Center USA/Freiday Construction/A 2 Z Roofing/American Woodmark/Drinking Age Motors/Leggett Engineering&Kingman High School&Kingman Academy of Learning - High School&Lee Williams High School",Bionic Bulldogs,Kingman,Arizona,USA,1997,,,Kingman High School & Kingman Academy of Learning - High School & Lee Williams High School,,CMPTX
22,61,TE Connectivity/Foster-Miller&Blackstone Valley,The Intimidators,Upton,Massachusetts,USA,1995,,NE,Blackstone Valley,,CMPMI
23,63,Millcreek Township School District/GE Volunteers & Mcdowell Hs,McDowell Robotics Team 63,Erie,Pennsylvania,USA,1997,,,Mcdowell Hs,,CMPMI
24,66,General Motors Corp/Michigan Department of Education/ZF&Ypsilanti STEMM Middle College,Grizzly Robotics,Ypsilanti,Michigan,USA,1998,,FIM,Ypsilanti STEMM Middle College,,CMPMI
25,67,General Motors Milford Proving Ground & Huron Valley Schools,The HOT Team,Highland,Michigan,USA,1997,,FIM,Huron Valley Schools,,CMPMI
26,68,General Motors/Michigan Department of Education/Fiat Chrysler Automobiles Foundation/Esys Automation/Continental Automotive Systems/ARL Service/Michigan Renaissance Festival/BAE/Denso/Valeo&Brandon High School,Truck Town Thunder,Ortonville,Michigan,USA,1998,,FIM,Brandon High School,,CMPMI
27,69,Quincy Public Schools/P & G Gillette&Quincy Public Schools,HYPER,Quincy,Massachusetts,USA,1998,,NE,Quincy Public Schools,,CMPMI
28,70,General Motors/State of Michigan/Fiat Chrysler Automotive Foundation/Kettering University/Patti Engineering/Leoni/Midstates Bolt & Screw Co./Mid Michigan Robotics Alliance/Polyflex Products/Spentech/Ford Motor &Goodrich High School,More Martians,Goodrich,Michigan,USA,1998,,FIM,Goodrich High School,,CMPMI
29,71,School City of Hammond/Caterpillar/City of Hammond/Bemcor International/Tri State Automation&Area Career Center,Team Hammond,Hammond,Indiana,USA,1996,,IN,Area Career Center,,CMPMI
30,74,Haworth Inc./Profile Films/Russells Technical Products/SpinDance/EBW Electronics/Up and Running Software/River City Metals/PTC/A.D. Bos Vending Services/Hann Persinger P.C.&Holland High School&Black River Public School,Team CHAOS,Holland,Michigan,USA,1995,,FIM,Holland High School & Black River Public School,,CMPMI
31,75,J&J Consumer Inc/Summit Associates/Richmond Foundation/Draftek Design/Kuchavik Consulting & Design/Picatinny Arsenal/Rutgers Dept of Physics and Technology/Active Disposal&Hillsborough High,RoboRaiders,Hillsborough,New Jersey,USA,1996,,FMA,Hillsborough High,,CMPMI
32,78,Naval Undersea Warfare Center/BankNewport/Casapinka/CVS Health Foundation/KVH Industries/Nordson EFD/Raytheon/Rite-Solutions/Waters Corporation&Aquidneck Island Robotics,AIR STRIKE,Newport,Rhode Island,USA,1996,,NE,Aquidneck Island Robotics,,CMPMI
33,79,Honeywell Aerospace/State of Florida&East Lake High School,Team Krunch,Tarpon Springs ,Florida,USA,1998,,,East Lake High School,,CMPTX
34,81,Honeywell/Freeport School District 145/Ultrasonic Power Corporation/Trez Turning/Morse Electric/Kiwanis Clubs of Freeport/RestorX/Papa Murphy's/Atkins Energy/Culver's of Freeport & Freeport High School & Lena-Winslow High School,MetalHeads,Freeport,Illinois,USA,1994,,,Freeport High School & Lena-Winslow High School,,CMPMI
35,85,Herman Miller Foundation/ITW  Drawform/Trans-matic/Request Foods/Lakeshore Cutting/Mead Johnson Nutritionals/ODL/Gentex/Midway Machine Techlologies/Town & Country Group/Plascore/Consumers Energy/Global Concepts/Disher Design/JR Automation/Challenge Mfg. Company/Hilman Automation/Koops/Superior Cutting Services/Zeeland Farm Service/Woodward&Zeeland West High School&Zeeland East High School,B.O.B. (Built on Brains),Zeeland,Michigan,USA,1996,,FIM,Zeeland West High School & Zeeland East High School,,CMPMI
36,86,JEA/Johnson and Johnson Vision Care /State of Florida/Black and Veatch Engineering/Renaissance Jax Inc/Duval County Public Schools/Alro Metals Plus&Stanton College Preparatory,Team Resistance,Jacksonville,Florida,USA,1998,,,Stanton College Preparatory,,CMPTX
37,87,"Lockheed Martin/COMCAST-NBC Universal/Metal Specialists/Lowe's of Lumberton, NJ&Rancocas Valley Reg H",Diablo,Mount Holly,New Jersey,USA,1997,,FMA,Rancocas Valley Reg H,,CMPMI
38,88,"DePuy Synthese, Inc. /Harpak Ulma&Bridgewater-Raynham Reg",TJ²,Bridgewater,Massachusetts,USA,1996,,NE,Bridgewater-Raynham Reg,,CMPMI
39,93,Plexus Corp./Appleton Area School District & Tesla Engineering Charter School & East High & North High & West High,NEW Apple Corps,Appleton,Wisconsin,USA,1997,,,Tesla Engineering Charter School & East High & North High & West High,,CMPMI
40,94,Denso/FORD MOTOR COMPANY/Eaton Corporation&Southfield High School,The  Ninetyfouriors,Southfield,Michigan,USA,1998,,FIM,Southfield High School,,CMPMI
41,95,Hartford Area Career and Technology Center/Progressive Manufacturing/Hypertherm/Fujifilm Dimatix/BAE Systems/OnShape&Hartford Area Career and Technology Center,Grasshoppers,White River Junction,Vermont,USA,1997,,NE,Hartford Area Career and Technology Center,,CMPMI
42,97,Cambridge Rindge and Latin School/Gene Haas Foundation/Rindge School of Technical Arts&Cambridge Rindge and Latin,Bionic Beef,Cambridge,Massachusetts,USA,1996,,NE,Cambridge Rindge and Latin,,CMPMI
43,100,Woodside High School Foundation/Sequoia Union High School District/Qualcomm/The Brin Wojcicki Foundation/Beaver Family/Tate Family/SolidWorks/Alan Steel and Supply Company/GitHub/Searcy Family/Intuitive Surgical/Aditazz/Vander-Bend/Sutter Instrument&Woodside High,The WildHats,Woodside,California,USA,1995,,,Woodside High,,CMPTX
44,101,ClusterBlue /Friends of Striker&St Patrick High School,Striker,Chicago,Illinois,USA,1997,,,St Patrick High School,,CMPMI
45,102,"Janssen Pharmaceuticals Inc./Piccatinny Arsenal/Siemens Smart Infrastructure/Air Liquide/PSEG/Dr. Victor J. Bauer/Central Jersey Trailer and Hitch LLC/Alloy Welding Company, Inc./Gerber Metal Supply Company&Somerville High",The Gearheads,Somerville,New Jersey,USA,1998,,FMA,Somerville High,,CMPMI
