,teamNumber,nameShort,location,latitude,longitude
500,1551,The Grapes of Wrath,"Naples, New York",42.6160647,-77.4030253
501,1553,KC Robotics Team,"nan, Lugoff, South Carolina",34.2177024,-80.6977142
502,1554,Oceanside Robotics,"Oceanside, New York",40.6390936,-73.6399765
503,1557,12 Volt Bolt,"Eustis, Florida",28.8527675,-81.6853534
504,1559,Devil-Tech,"Victor, New York",42.9825634,-77.4088794
505,1561,ROBODUCKS,"Oklahoma City, Oklahoma",35.4729886,-97.5170536
506,1566,AMMOKNIGHTS,"Idaho Falls, Idaho",43.4887907,-112.03628
507,1569,Haywire Robotics,"Pocatello, Idaho",42.8620287,-112.450627
508,1571,CALibrate Robotics,"Gresham, Oregon",45.4997475,-122.4309766
291,1572,Hammer Heads,"nan, San Diego, California",-53.16129205,-70.93304406533326
510,1583,Ridge View Academy Rambotics,"Watkins, Colorado",39.7443406,-104.6031986
511,1584,Pirates,"nan, Nederland, Colorado",51.8075893,4.7094443
512,1585,Scitobor Robotics,"Shortsville, New York",42.9559145,-77.2206913
513,1590,Titaniums,"Lorain, Ohio",41.4673238,-82.1781904
30,1591,Greece Gladiators,"nan, Rochester, New York",43.1100257,-77.54586782478958
515,1592,Bionic Tigers,"Cocoa , Florida",28.3553873,-80.7318827
516,1595,The Dragons,"Spokane, Washington",47.6571934,-117.42351
517,1596,The Instigators,"Sault Sainte Marie, Michigan",46.5000696,-84.33902197021817
518,1598,TeamTalon,"Danville, Virginia",36.5859718,-79.3950228
489,1599,CircuiTree,"Mechanicsville, Virginia",37.627722,-77.35381757536094
154,1600,ROBO KINGS AND QUEENS,"nan, Brooklyn, New York",40.6038604,-73.9966803
521,1601,QS1601,"L.I.C., New York",14.7230203,120.9750029
522,1610,B.O.T. (Builders of Tomorrow),"Franklin, Virginia",37.0527719,-79.8813093
523,1619,Up-A-Creek Robotics,"Longmont, Colorado",40.1672117,-105.1019287
524,1622,Team Spyder,"Poway, California",32.9628234,-117.035864
525,1625,Winnovation,"nan, Winnebago, Illinois",42.4135386,-88.9628836
526,1626,Falcon Robotics,"Metuchen, New Jersey",40.5431598,-74.3632049
527,1629,Garrett Coalition (GaCo),"Accident, Maryland",39.6289521,-79.3208439
474,1633,RoboBuffs,"Tempe, Arizona",33.4255117,-111.9400164
529,1635,TECHNOTICS,"Elmhurst, New York",40.7365804,-73.8783932
530,1640,Sab-BOT-age,"Downingtown, Pennsylvania",40.0064958,-75.7032742
531,1642,Techno-Cats,"Ft. Worth, Texas",32.753177,-97.3327459
238,1644,The Robo-Skunks,"nan, Los Angeles, California",34.0049604,-117.7877947
533,1646,Precision Guessworks,"Lafayette, Indiana",40.4167022,-86.8752869
534,1647,Iron Devils,"Tabernacle, New Jersey",38.9840016,-74.9051719
456,1648,G3 Robotics,"Atlanta, Georgia",33.7489924,-84.3902644
536,1649,Lakerbotics (The Lakers),"Windemere, Florida",28.0251354,-81.9745773
326,1658,Tech Heads,"St. Louis, Missouri",38.6280278,-90.1910154
268,1660,Harlem Knights,"nan, New York, New York",40.7550963,-73.4763586
539,1661,Griffitrons,"Sherman Oaks, California",34.1508718,-118.4489865
540,1662,Raptor Force Engineering,"Lodi, California",38.1301968,-121.2724473
541,1665,Weapons of Mass Construction,"Hudson, New York",42.2528649,-73.790959
542,1671,Buchanan Bird Brains,"Clovis, California",36.8252277,-119.7029194
543,1672,Robo-T-Birds,"Mahwah, New Jersey",41.0887072,-74.1437552
544,1675,UPS (Ultimate Protection Squad),"Milwaukee, Wisconsin",43.0349931,-87.922497
545,1676,The Pascack PI-oneers,"Montvale, New Jersey",41.0467635,-74.0229173
546,1677,Quantum Ninjas ,"Kalamazoo, Michigan",42.291707,-85.5872286
547,1678,Citrus Circuits,"Davis, California",38.545379,-121.744583
548,1683,Techno Titans,"Johns Creek, Georgia",34.0181557,-84.190196
549,1684,Chimeras ,"Lapeer, Michigan",43.0904764,-83.2333705
550,1699,Robocats,"Colchester, Connecticut",41.6003429,-72.3369549
2,1700,Gatorbotics,"nan, Palo Alto, California",-22.2191852,-49.9758677
552,1701,RoboCubs,"Detroit, Michigan",42.3315509,-83.0466403
553,1706,Ratchet Rockers,"Wentzville, Missouri",38.8244136,-90.8683119
554,1708,AMP'D Robotics,"McKeesport, Pennsylvania",40.3478472,-79.864215
555,1710,The Ravonics Revolution,"Olathe, Kansas",38.8838856,-94.81887
556,1711,Raptors,"Traverse City, Michigan",44.7606441,-85.6165301
557,1712,Dawgma,"Ardmore, Pennsylvania",40.0067786,-75.2854622
544,1714,MORE Robotics,"Milwaukee, Wisconsin",43.0349931,-87.922497
559,1716,Redbird Robotics,"De Pere, Wisconsin",44.4493584,-88.0599986
560,1718,The Fighting Pi,"Armada, Michigan",42.8441964,-82.8843722
561,1719,The Umbrella Corporation,"Brooklandville, Maryland",39.4114301,-76.66737718644993
562,1720,PhyXTGears,"Muncie, Indiana",40.1936892,-85.3865271
484,1721,Tidal Force,"Concord, New Hampshire",43.207178,-71.537476
564,1723,The FBI - FIRST Bots of Independence,"Independence, Missouri",39.0924792,-94.4137923
565,1726,N.E.R.D.S. (Nifty Engineering Robotics Design Squad),"Sierra Vista, Arizona",31.5545973,-110.2997756
566,1729,Team Inconceivable!,"New Ipswich, New Hampshire",42.7481421,-71.8542429
567,1730,Team Driven,"Lee’s Summit, Missouri",38.9107156,-94.3821295
568,1731,Fresta Valley Robotics Club,"Marshall, Virginia",39.854861,-80.6616946
544,1732,Hilltoppers,"Milwaukee, Wisconsin",43.0349931,-87.922497
90,1735,Green Reapers,"Worcester, Massachusetts",42.2625621,-71.8018877
571,1736,Robot Casserole,"Peoria, Illinois",40.6938609,-89.5891008
572,1737,Project X,"Excelsior Springs, Missouri",39.3417244,-94.2223507
45,1739,Chicago Knights,"Chicago, Illinois",41.8755616,-87.6244212
574,1740,Ledyard Cyber Colonels,"Ledyard, Connecticut",41.4200986,-71.9703518
575,1741,Red Alert,"Greenwood, Indiana",39.6136578,-86.1066526
576,1742,Shockwave,"Norman, Oklahoma",35.2225717,-97.4394816
577,1743,Short Circuits,"Pittsburgh , Pennsylvania",40.4416941,-79.9900861
578,1744,Robo Rays,"Naples, Florida",26.1421976,-81.7942944
579,1745,P-51 Mustangs,"Richardson, Texas",32.9481789,-96.7297206
580,1746,OTTO,"Cumming, Georgia",34.2073196,-84.1401926
197,1747,Harrison Boiler Robotics,"West Lafayette, Indiana",40.4258686,-86.9080655
582,1750,ThunderStorm Robotics,"Stillwater, Oklahoma",36.1156306,-97.0585717
583,1751,The Warriors,"Port Jefferson Station, New York",40.925939,-73.065185
571,1756,Argos,"Peoria, Illinois",40.6938609,-89.5891008
585,1757,Wolverines,"Westwood, Massachusetts",42.2139873,-71.2244987
586,1758,Technomancers,"nan, Florence, South Carolina",34.1393002,-79.7712722
587,1759,Potatoes,"El Segundo, California",33.917028,-118.4156337
588,1761,STEAMpunk Tigers,"Lynn, Massachusetts",42.466763,-70.9494939
589,1763,Paseliens,"Kansas City, Missouri",39.100105,-94.5781416
590,1764,Liberty Robotics,"Liberty, Missouri",39.246479,-94.419079
591,1765,E1Bots,"Cheektowaga, New York",42.9033917,-78.7547536
592,1768,Robo Chiefs,"Bolton, Massachusetts",42.4342336,-71.6097744
593,1769,Digital Hawks,"Kansas City, Kansas",39.1134562,-94.626497
415,1771,Electric Phoenixes,"Suwanee, Georgia",34.0514898,-84.0712997
589,1775,Tigerbytes,"Kansas City, Missouri",39.100105,-94.5781416
329,1777,Viking Robotics,"nan, Overland Park, Kansas",38.9265622,-94.7211894
597,1778,Chill Out,"Mountlake Terrace , Washington",47.7909667,-122.3066395
45,1781,Electric Eagles,"Chicago, Illinois",41.8755616,-87.6244212
599,1785,Blue Springs Robocats,"Blue Springs, Missouri",39.017316,-94.282265
600,1786,The Robotics Team,"Dublin, New Hampshire",42.9075823,-72.0625817
601,1787,Flying Circuits,"Pepper Pike, Ohio",41.478387,-81.46373
602,1791,T.O.P. Hatters,"Clayton, New Jersey",39.6601148,-75.0921197
603,1792,Round Table Robotics,"Oak Creek, Wisconsin",42.8858503,-87.8631362
604,1793,The Pilots,"Norfolk, Virginia",36.8448348,-76.2863999
456,1795,Team Clutch,"Atlanta, Georgia",33.7489924,-84.3902644
606,1796,RoboTigers,"Long Island City, New York",40.7415095,-73.9569751
607,1799,Wired Up!,"Littleton, Colorado",39.613321,-105.016649
593,1802,Team Stealth,"Kansas City, Kansas",39.1134562,-94.626497
609,1803,Vikings,"Port Washington, New York",40.8257072,-73.6958069
