,teamNumber,location,latitude,longitude
2500,6367,"Edward Brooke Charter School, Boston, Massachusetts",42.2819806,-71.12162993010308
2501,6369,"McKinney, Texas",33.1976496,-96.6154471
2502,6371,"Spencer , Spencer, Iowa",41.9678724,-91.7372418
2503,6372,"Eduprize School Gilbert, Gilbert, Arizona",33.3761486,-111.80137922264171
2504,6377,"Austin, Texas",30.2711286,-97.7436995
2505,6379,"Southeast Polk , Pleasant Hill, Iowa",41.5851593,-93.4776192
2506,6381,"Sheboygan, Wisconsin",43.7128967,-87.9370433
2507,6382,"Rancho Buena Vista High, Vista, California",33.1611492,-117.2467023
2508,6391,"Ursuline Academy, Saint Louis, Missouri",38.57704325,-90.38793996519485
2509,6398,"Santa Paula High, Santa Paula, California",34.3565074,-119.0701839
2510,6400,"Manhattan, Montana",45.855369,-111.334081
2511,6401,"Clarkstown North Senior , New City, New York",41.1509783,-73.9702697
2512,6410,"Everett Alvarez High, Salinas, California",36.712714250000005,-121.61531124749538
2513,6411,"Jordan High, Sandy, Utah",40.5737033,-111.88812745596704
2514,6412,"Metro , Cedar Rapids, Iowa",41.97320485,-91.65238681868222
2515,6413,"Chandler, Arizona",33.3062031,-111.8411851
2516,6418,"San Francisco, California",37.7790262,-122.419906
2517,6419,"Valley , West Des Moines, Iowa",41.59746365,-93.74949551282047
2518,6420,"Muscatine , Muscatine, Iowa",41.4246132,-91.0436508
2519,6421,"Muskego High, Muskego, Wisconsin",42.88507745,-88.14549111509588
2520,6422,"Rocky Point, New York",40.9525987,-72.9253805
2521,6423,"East Setauket, New York",40.920966,-73.093714
2522,6424,"Knob Noster High, Knob Noster, Missouri",38.7612166,-93.56000478294453
2523,6425,"Coldwater , Coldwater, Michigan",41.80285715,-84.97131469667474
2524,6426,"Durham, North Carolina",35.996653,-78.9018053
2052,6428,"Coopersville , Coopersville, Michigan",43.076827699999996,-85.94082571844811
2526,6442,"Pendleton , Pendleton, Oregon",45.696233899999996,-118.84198828544702
2527,6443,"Liberty , Hillsboro, Oregon",45.56233615,-122.90238012503357
2528,6445,"Salem, Oregon",44.9391565,-123.033121
2529,6451,"Whiteland, Indiana",39.5500485,-86.0797079
2530,6453,"Kelliher, Minnesota",47.941625,-94.44829
2531,6455,"Columbus , Waterloo, Iowa",42.4642086,-92.34238487398981
2532,6457,"West Valley City, Utah",40.6967254,-111.986821
2533,6460,"Mansfield, Ohio",40.75839,-82.5154471
2534,6463,"Port Ewen, New York",41.9053703,-73.976249
2535,6464,"Seminole Hs, Seminole, Oklahoma",35.2278945,-96.6781353
2536,6465,"Cascades Academy of Central Oregon, Bend, Oregon",44.132742,-121.33147897686645
2537,6467,"Lenox , Lenox, Iowa",40.879381,-94.557573
2538,6468,"Ponte Vedra, Florida",30.2274645,-81.3800824
2539,6471,"Lee County , Leesburg, Georgia",31.7199575,-84.1716752
2540,6473,"Orlando, Florida",28.5421109,-81.3790304
2541,6474,"Fairfield, California",38.2493581,-122.039966
2542,6479,"Corona Del Sol , Tempe, Arizona",33.3260469,-111.9261907383206
2543,6482,"Joseph City , Joseph City, Arizona",34.9562279,-110.3253937
2544,6484,"Greenwich, New York",41.102945,-73.702726
2545,6488,"Mayde Creek H S, Houston, Texas",29.7962523,-95.7001834
2546,6489,"Zachary , Zachary, Louisiana",30.6559428,-91.19404337109984
2547,6490,"Geneva , Geneva, New York",42.898977,-76.7528111
2548,6492,"Pangburn , Pangburn, Arkansas",35.4396497,-91.9430596
2549,6493,"University Center, Michigan",42.73778025,-84.55423361106077
2550,6498,"Newburgh, Indiana",37.9456824,-87.4046571
2551,6499,"Orange, California",33.7500378,-117.8704931
2552,6500,"Millbrook High, Raleigh, North Carolina",35.86644605,-78.60322552613911
2553,6502,"Durham Academy, Durham, North Carolina",35.9685936,-78.9446675
2554,6503,"Seattle World School, Seattle, Washington",47.613673750000004,-122.30955931138645
2555,6504,"Falls Church High, Falls Church, Virginia",38.861518950000004,-77.20744243419146
2556,6505,"Washington, District of Columbia",38.8950368,-77.0365427
2557,6506,"Salinas High, Salinas, California",36.667627499999995,-121.65801196812062
2558,6512,"Bolivia, North Carolina",34.0676715,-78.1483283
2559,6515,"Calexico High, Calexico, California",32.6775584,-115.487216
2560,6517,"South Doyle , Knoxville, Tennessee",35.9406636,-83.89501261247747
