,teamNumber,nameShort,location,latitude,longitude
0,1,The Juggernauts,"Oakland Schools Technical Campus Northeast, Pontiac, Michigan",42.66901585,-83.2639979106961
1,4,Team 4 ELEMENT,"Van Nuys, California",34.1866193,-118.4486675
2,8,Paly Robotics,"Palo Alto , Palo Alto, California",37.4434703,-122.1651998
3,11,MORT,"Flanders, New Jersey",40.8456549,-74.6948843
4,16,Bomb Squad,"Mountain Home, Arkansas",36.3361391,-92.3801187
5,20,The Rocketeers,"Shenendehowa , Clifton Park, New York",42.86963355,-73.80857595105246
6,21,ComBBAT,"Astronaut  & Titusville , Titusville, Florida",28.62479625,-80.85131104290072
7,23,PNTA Pilgrim Nuclear Technology Alliance,"Plymouth North , Plymouth, Massachusetts",41.944555550000004,-70.65262249504039
8,25,Raider Robotix,"North Brunswick Township HS, North Brunswick, New Jersey",40.452812,-74.4686784
9,27,Team RUSH,"Clarkston , Clarkston, Michigan",42.73905605,-83.39198639025453
10,28,Pierson Whalers,"Sag Harbor, New York",40.9978727,-72.2922292
11,31,Prime Movers,"Jenks , Jenks, Oklahoma",36.0120746,-95.9871969
12,33,Killer Bees,"Notre Dame Preparatory, Auburn Hills, Michigan",42.6732124,-83.25969529028427
13,34,Rockets,"Athens, Alabama",34.8045487,-86.9711698
14,41,RoboWarriors,"Warren, New Jersey",40.8602222,-74.9720493
15,45,TechnoKats Robotics Team,"Kokomo , Kokomo, Indiana",40.4594635,-86.13026910233465
16,48,Team E.L.I.T.E.,"Warren, Ohio",39.4203978,-84.180897
17,51,The Wings of Fire,"Pontiac, Michigan",42.6389216,-83.2910468
18,56,R.O.B.B.E.,"Bound Brook , Bound Brook, New Jersey",40.5609731,-74.5302987
19,58,The Riot Crew,"South Portland , South Portland, Maine",43.63323285,-70.31731723892223
20,59,RamTech,"Miami, Florida",25.7741728,-80.19362
21,60,Kingman FIRST Robotics Team 60 (The Bionic Bulldogs),"Kingman, Arizona",35.189443,-114.0530065
22,61,The Intimidators,"Upton, Massachusetts",42.1769906,-71.6014216
23,63,McDowell Robotics Team 63,"Mcdowell Senior , Erie, Pennsylvania",42.0729014,-80.14954589161519
24,66,Grizzly Robotics,"Ypsilanti STEMM Middle College, Ypsilanti, Michigan",42.2440229,-83.6459756
25,67,The HOT Team,"Huron Valley Schools, Highland, Michigan",42.6840138,-83.57680010030208
26,68,Truck Town Thunder,"Brandon , Ortonville, Michigan",42.86965525,-83.40327667049881
27,69,HYPER,"Quincy, Massachusetts",42.2509914,-71.0037374
28,70,More Martians,"Goodrich , Goodrich, Michigan",42.9139472,-83.51396339564499
29,71,Team Hammond,"Hammond, Indiana",41.5833658,-87.500043
30,74,Team CHAOS,"Holland, Michigan",42.7876022,-86.1090828
31,75,RoboRaiders,"Hillsborough , Hillsborough, New Jersey",40.49492615,-74.65687728532075
32,78,AIR STRIKE,"Newport, Rhode Island",41.5524614,-71.27037832834264
33,79,Team 79 Krunch,"Oldsmar, Florida",28.0341847,-82.6650992
34,81,MetalHeads,"Freeport, Illinois",42.2966861,-89.6212271
35,85,B.O.B. (Built on Brains),"Zeeland, Michigan",42.8124349,-86.0288167
36,86,Team Resistance,"Jacksonville, Florida",30.3321838,-81.655651
37,87,Diablo,"Mount Holly, New Jersey",39.9928898,-74.7876624
38,88,TJ²,"Bridgewater, Massachusetts",41.9903787,-70.9750426
39,93,NEW Apple Corps,"Appleton, Wisconsin",44.2613967,-88.4069744
40,94,The  TechnoJays,"Southfield, Michigan",42.4733689,-83.2218731
41,95,Grasshoppers,"White River Junction, Vermont",43.6488351,-72.3193634
42,97,Bionic Beef,"Cambridge, Massachusetts",42.3750997,-71.1056157
43,100,The Wildhats,"Woodside , Woodside, California",54.6614876,-1.7202894
44,101,Striker,"St Patrick , Chicago, Illinois",41.9392804,-87.77479477298535
45,102,The Gearheads,"Somerville , Somerville, New Jersey",40.566212,-74.614078
